2025-11-05 21:15:15,963 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:29,212 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:30,022 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,841 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,964 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-13 03:15:00
2025-11-05 21:15:36,964 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-13 03:20:00
2025-11-05 21:15:36,964 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-13 03:25:00
2025-11-05 21:15:36,965 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-13 04:05:00
2025-11-05 21:15:36,965 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-13 04:10:00
2025-11-05 21:15:36,965 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-13 21:35:00
2025-11-05 21:15:36,965 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-13 21:40:00
2025-11-05 21:15:36,966 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-14 04:05:00
2025-11-05 21:15:36,966 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-14 04:15:00
2025-11-05 21:15:36,966 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-14 04:30:00
2025-11-05 21:15:36,966 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-14 04:35:00
2025-11-05 21:15:36,967 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-14 05:20:00
2025-11-05 21:15:36,967 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-14 08:00:00
2025-11-05 21:15:36,967 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-14 08:05:00
2025-11-05 21:15:36,968 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-14 08:30:00
2025-11-05 21:15:36,968 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-14 09:00:00
2025-11-05 21:15:36,968 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-14 09:15:00
2025-11-05 21:15:36,968 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-14 09:25:00
2025-11-05 21:15:36,968 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-14 09:35:00
2025-11-05 21:15:36,969 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-14 10:00:00
2025-11-05 21:15:36,969 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-15 08:50:00
